trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
15,False,"{'a': 0.8, 'e': 0.2058911320946491}",20,0,-98.22434606268229,"{0: 14, 1: 0, 2: 2, 3: 3, 4: 1}",0
16,False,"{'a': 0.8, 'e': 0.1853020188851842}",35,17,-73.1408023217167,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 1}",1
17,False,"{'a': 0.8, 'e': 0.16677181699666577}",25,5,-44.37348069871821,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",1
18,False,"{'a': 0.8, 'e': 0.1500946352969992}",35,5,31.315813016378,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.8, 'e': 0.13508517176729928}",20,14,4.23678999397883,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.8, 'e': 0.12157665459056936}",30,1,-32.78541015938029,"{0: 25, 1: 0, 2: 3, 3: 0, 4: 1}",1
21,False,"{'a': 0.8, 'e': 0.10941898913151243}",30,7,-28.60129135083949,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 1}",1
22,False,"{'a': 0.8, 'e': 0.0984770902183612}",20,3,6.2025245247667415,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
23,False,"{'a': 0.8, 'e': 0.08862938119652508}",25,18,14.907156756286302,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.8, 'e': 0.07976644307687257}",25,18,11.183740937463906,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.8, 'e': 0.07178979876918531}",35,16,29.47486058400461,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.8, 'e': 0.06461081889226679}",30,19,18.056865282796515,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.8, 'e': 0.05814973700304011}",20,0,-18.19566731441478,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",1
28,False,"{'a': 0.8, 'e': 0.0523347633027361}",30,10,27.299060113845943,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.8, 'e': 0.04710128697246249}",20,9,5.418016552303489,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.8, 'e': 0.042391158275216244}",20,12,11.99346607869299,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
